A Little Chat|Conversinha
Aethershield Artificer|Artífice do Escudo Etéreo
Aethersnipe|Eteroquimera
Aethersphere Harvester|Segadeira da Eteresfera
Aetherspouts|Tubos de Éter
Aethersquall Ancient|Ancião da Borrasca Etérea
Aetherstorm Roc|Roca da Tempestade Etérea
Aetherstream Leopard|Leopardo-das-correntes-de-éter
Aethertide Whale|Baleia-da-maré-etérea
Aethertorch Renegade|Renegado da Tocha de Éter
Aethertow|Ressaca Etérea
Aetherwind Basker|Assimilador de Ventos Etéreos
Aetherworks Marvel|Maravilha do Sistema Eteráulico
Aeve, Progenitor Ooze|Aeve, Lodo Progenitor
Affa Guard Hound|Sabujo de Guarda de Affa
Affa Protector|Protetor de Affa
Affectionate Indrik|Indrik Afetuoso
Afflicted Deserter|Desertor Atormentado
Afflict|Afligir
Afiya Grove|Bosque de Afiya
Afterlife|Pós-vida
Aftershock|Repercussão
Agadeem Occultist|Ocultista de Agadeem
Agadeem's Awakening|Despertar de Agadeem
Agadeem, the Undercrypt|Agadeem, a Subcripta
Against All Odds|Contra Todas as Probabilidades
Ageless Entity|Entidade Eterna
Ageless Guardian|Guardião Imortal
Ageless Sentinels|Sentinelas Eternas
Agent of Erebos|Agente de Érebo
Agent of Horizons|Agente dos Horizontes
Agent of Masks|Agente de Máscaras
Agent of Shauku|Agente de Shauku
Agent of Stromgald|Agente de Stromgald
Agent of Treachery|Agente da Traição
Agent of the Fates|Agente dos Destinos
Agent of the Iron Throne|Agente do Trono de Ferro
Agent of the Shadow Thieves|Agente dos Ladrões das Sombras
Aggravated Assault|Assalto Agravado
Aggravate|Irritar
Aggression|Agressão
Aggressive Mammoth|Mamute Agressivo
Aggressive Mining|Mineração Agressiva
Aggressive Sabotage|Sabotagem Agressiva
Aggressive Urge|Ímpeto Agressivo
Agility|Agilidade
Agitator Ant|Formiga Agitadora
Agonizing Demise|Morte Agonizante
Agonizing Memories|Lembranças Angustiantes
Agonizing Remorse|Remorso Agonizante
Agonizing Syphon|Sifão Agonizante
Agony Warp|Distorção Agonizante
Agoraphobia|Agorafobia
Agrus Kos, Wojek Veteran|Agrus Kos, Veterano Wojek
Ahn-Crop Champion|Campeão da Safra Ahn
Ahn-Crop Crasher|Demolidor da Safra Ahn
Ahn-Crop Invader|Invasor da Safra Ahn
Aid from the Cowl|Ajuda do Capote
Aid the Fallen|Ajudar os Caídos
Aim High|Mirar Alto
Aim for the Head|Mirar na Cabeça
Ainok Artillerist|Artilheiro Ainok
Ainok Bond-Kin|Ainok Laço-de-honra
Ainok Guide|Guia Ainok
Ainok Survivalist|Sobrevivencialista Ainok
Ainok Tracker|Rastreador Ainok
Air Bladder|Câmara de Ar
Air Elemental|Elemental do Ar
Air Marshal|Marechal do Ar
Air Servant|Servo do Ar
Air-Cult Elemental|Elemental do Culto do Ar
Airborne Aid|Socorro Aerotransportado
Airdrop Aeronauts|Aeronautas de Entrega
Airdrop Condor|Condor Lançador de Goblins
Airlift Chaplain|Capelã do Transporte Aéreo
Ajani Goldmane|Ajani Juba D'ouro
Ajani Steadfast|Ajani Resoluto
Ajani Unyielding|Ajani, o Inabalável
Ajani Vengeant|Vingador Ajani
Ajani's Aid|Ajuda de Ajani
Ajani's Chosen|Escolhidos de Ajani
Ajani's Comrade|Camarada de Ajani
Ajani's Influence|Influência de Ajani
Ajani's Last Stand|Resistência Final de Ajani
Ajani's Mantra|Mantra de Ajani
Ajani's Presence|Presença de Ajani
Ajani's Pridemate|Companheiro de Bando de Ajani
Ajani's Sunstriker|Golpeador Solar de Ajani
Ajani's Welcome|Boas-vindas de Ajani
Ajani, Adversary of Tyrants|Ajani, Adversário dos Tiranos
Ajani, Caller of the Pride|Ajani, Convocador do Bando
Ajani, Inspiring Leader|Ajani, Líder Inspirador
Ajani, Mentor of Heroes|Ajani, Mentor dos Heróis
Ajani, Sleeper Agent|Ajani, Sleeper Agent
Ajani, Strength of the Pride|Ajani, Força do Bando
Ajani, Valiant Protector|Ajani, Protetor Valente
Ajani, Wise Counselor|Ajani, Conselheiro Sábio
Ajani, the Greathearted|Ajani, o Magnânimo
Akim, the Soaring Wind|Akim, o Vento Ascendente
Akiri, Fearless Voyager|Akiri, Viajante Destemida
Akiri, Line-Slinger|Akiri, Fundeira de Linha
Akki Avalanchers|Avalancheiros Akkis
Akki Battle Squad|Esquadrão de Batalha Akki
Akki Blizzard-Herder|Akki Pastor de Nevascas
Akki Coalflinger|Akki Atira-hulha
Akki Drillmaster|Akki Mestre Perfurador
Akki Ember-Keeper|Akki Custódio das Brasas
Akki Raider|Akki Salteador
Akki Rockspeaker|Akki Litófilo
Akki Ronin|Ronin Akki
Akki Scrapchomper|Papa-sucata Akki
Akki Underling|Lacaio Akki
Akki Underminer|Sabotador Akki
Akki War Paint|Pintura de Guerra Akki
Akoum Battlesinger|Cantor de Batalha de Akoum
Akoum Boulderfoot|Pé-de-Pedra de Akoum
Akoum Firebird|Pássaro de Fogo de Akoum
Akoum Flameseeker|Buscachamas de Akoum
Akoum Hellhound|Sabujo Infernal de Akoum
Akoum Hellkite|Dragoa Avérnea de Akoum
Akoum Refuge|Refúgio de Akoum
Akoum Stonewaker|Desperta-pedra de Akoum
Akoum Teeth|Dentes de Akoum
Akoum Warrior|Guerreiro de Akoum
Akrasan Squire|Escudeiro Akrasano
Akroan Conscriptor|Alistador Acrosano
Akroan Crusader|Cruzado Acrosano
Akroan Hoplite|Hoplita Acrosano
Akroan Horse|Cavalo de Ácros
Akroan Jailer|Carcereiro Acrosano
Akroan Line Breaker|Desformador Acrosano
Akroan Mastiff|Mastim Acrosano
Akroan Phalanx|Falange Acrosana
Akroan Sergeant|Sargento Acrosano
Akroan Skyguard|Guardião Alado Acrosano
Akroma's Blessing|Bênção de Akroma
Akroma's Devoted|Devotado de Akroma
Akroma's Memorial|Memorial de Akroma
Akroma's Vengeance|Vingança de Akroma
Akroma's Will|Vontade de Akroma
Akroma, Angel of Fury|Akroma, Anjo da Fúria
Akroma, Angel of Wrath|Akroma, Anjo da Ira
Akroma, Vision of Ixidor|Akroma, Visão de Ixidor
Akron Legionnaire|Legionário de Akron
Aku Djinn|Gênio de Aku
Akuta, Born of Ash|Akuta, Nascido das Cinzas
Alabaster Dragon|Dragão de Alabastro
Alabaster Host Intercessor|Intercessor da Hoste de Alabastro
Alabaster Host Sanctifier|Santificadora da Hoste de Alabastro
Alabaster Kirin|Kirin de Alabastro
Alabaster Leech|Sanguessuga de Alabastro
Alabaster Mage|Mago Alabastro
Alabaster Potion|Poção Alabastrina
Alabaster Wall|Barreira de Alabastro
Alaborn Cavalier|
Alaborn Grenadier|
Alaborn Musketeer|
Alaborn Trooper|
Alaborn Veteran|
Alaborn Zealot|
Aladdin's Lamp|Låmpada de Aladin
Aladdin's Ring|Anel de Aladim
Alarum|Alarma
Alaundo the Seer|Alaundo, o Vidente
Albino Troll|Trol Albino
Alchemist's Apprentice|Aprendiz de Alquimista
Alchemist's Gambit|Gambito do Alquimista
Alchemist's Gift|Dádiva da Alquimista
Alchemist's Greeting|Cumprimento do Alquimista
Alchemist's Refuge|Refúgio do Alquimista
Alchemist's Retrieval|Recuperação do Alquimista
Alchemist's Vial|Frasco do Alquimista
Aleatory|Aleatório
Alela, Artful Provocateur|Alela, Provocadora Ardilosa
Alena, Kessig Trapper|Alena, Armadilheira de Kessig
Alert Heedbonder|Vinculador dos Sensos Alerta
Alesha's Vanguard|Vanguarda de Alesha
Alesha, Who Smiles at Death|Alesha, a Que Sorri Para a Morte
Alexi's Cloak|Manto de Alexi
Alexi, Zephyr Mage|Alexi, Maga Zefiriana
Algae Gharial|Gavial das Algas
Alhammarret's Archive|Arquivo de Alhammarret
Alhammarret, High Arbiter|Alhammarret, Juiz Supremo
Alharu, Solemn Ritualist|Alharu, Ritualista Solene
Ali Baba|Ali Babá
Aliban's Tower|Torre de Aliban
Alibou, Ancient Witness|Alibou, Antiga Testemunha
Aligned Hedron Network|Rede de Edros Alinhados
Alirios, Enraptured|Alírio, Extasiado
All Is Dust|Tudo é Poeira
All Suns' Dawn|Aurora de Todos os Sóis
All That Glitters|Tudo que Reluz
All Will Be One|Tudo Será Um
All-Seeing Arbiter|Árbitro Onisciente
Allay|Minorar
Alley Evasion|Evasão pelas Vielas
Alley Grifters|Vigaristas do Beco
Alley Strangler|Estrangulador das Vielas
Allied Assault|Assalto Aliado
Allied Reinforcements|Reforços Aliados
Allied Strategies|Estratégias Aliadas
Allosaurus Rider|Ginete de Alossauro
Alloy Animist|Animista de Liga Metálica
Alloy Golem|Golem de Liga Metálica
Alloy Myr|Myr de Liga
Allure of the Unknown|Fascínio do Desconhecido
Alluring Scent|
Alluring Siren|Sirena Sedutora
Ally Encampment|Acampamento Aliado
Almighty Brushwagg|Tojo Todo-poderoso
Alms Beast|Fera das Esmolas
Alms Collector|Coletor de Esmolas
Alms of the Vein|Esmola Venosa
Alms|Donativo
Alora, Merry Thief|Alora, Ladra Alegre
Alpha Authority|Autoridade de Alfa
Alpha Brawl|Disputa de Alfa
Alpha Kavu|Kavu Alfa
Alpha Myr|Myr Alfa
Alpha Status|Status de Alfa
Alpha Tyrranax|Tyrranax Alfa
Alpine Grizzly|Urso Pardo Alpino
Alpine Guide|Guia Alpino
Alpine Houndmaster|Mestre dos Sabujos Alpino
Alpine Meadow|Prado Alpino
Alpine Moon|Lua Alpina
Alpine Watchdog|Cão de Guarda Alpino
Alrund's Epiphany|Epifania de Alrund
Alseid of Life's Bounty|Alseíde da Dádiva da Vida
Altac Bloodseeker|Caçador de Sangue de Altac
Altar Golem|Golem do Altar
Altar of Bone|Altar de Ossos
Altar of Dementia|Altar da Demência
Altar of Shadows|Altar das Sombras
Altar of the Brood|Altar da Linhagem
Altar of the Goyf|Altar do Goyf
Altar of the Lost|Altar dos Perdidos
Altar of the Pantheon|Altar do Panteão
Altar's Light|Luz do Altar
Altar's Reap|Colheita do Altar
Alter Fate|Alterar Destino
Alter Reality|Alterar a Realidade
Altered Ego|Ego Alterado
Aluren|Aluren
Always Watching|Sempre Vigilante
Amaranthine Wall|Muralha Amarantina
Amareth, the Lustrous|Amareth, a Lustrosa
Amass the Components|Acumular Componentes
Ambassador Laquatus|Embaixador Laquatus
Ambassador Oak|Carvalho Embaixador
Amber Gristle O'Maul|Amber Gristle O'Maul
Amber Prison|Prisão de Âmbar
Ambition's Cost|Custo da Ambição
Ambitious Aetherborn|Etergênito Ambicioso
Ambitious Assault|Ataque Ambicioso
Ambitious Dragonborn|Draconata Ambiciosa
Ambulatory Edifice|Edifício Ambulante
Ambuscade Shaman|Xamã da Emboscada
Ambuscade|Cilada
Ambush Commander|Comandante de Emboscada
Ambush Krotiq|Krotiq Emboscador
Ambush Paratrooper|Paraquedista de Emboscada
Ambush Party|Grupo de Emboscada
Ambush Viper|Víbora de Emboscada
Ambush|Emboscada
Aminatou's Augury|Augúrio de Aminatou
Aminatou, the Fateshifter|Aminatou, a Forjadora de Destinos
Ammit Eternal|Eterno Ammit
Amoeboid Changeling|Morfolóide Amebóide
Amok|Amoque
Amorphous Axe|Machado Amorfo
Amphibious Kavu|Kavu Anfíbio
Amphin Cutthroat|Degolador Amphin
Amphin Mutineer|Amotinado Amphin
Amphin Pathmage|Mago Trilhador Amphin
Amplifire|Amplifogo
Ampryn Tactician|Estrategista Ampryn
Amrou Kithkin|Kithkin Amrou
Amrou Scout|Batedor Amrou
Amrou Seekers|Perseguidores de Amrou
Amugaba|Amugaba
Amulet of Kroog|Amuleto de Kroog
Amulet of Safekeeping|Amuleto de Segurança
Amulet of Unmaking|Amuleto do Desfazer
Amulet of Vigor|Amuleto de Vigor
An Offer You Can't Refuse|Oferta Irrecusável
An-Havva Constable|Guardião de An-Havva
An-Havva Inn|Estalagem de An-Havva
An-Havva Township|Aldeia de An-Havva
An-Zerrin Ruins|Ruínas dos An-Zerrin
Ana Battlemage|Mago de Combate de Ana
Ana Disciple|Discípulo de Ana
Ana Sanctuary|Santuário de Ana
Anaba Ancestor|Ancestral de Anaba
Anaba Bodyguard|Guarda-Costas de Anaba
Anaba Shaman|Xamã de Anaba
Anaba Spirit Crafter|Artesão Espiritual de Anaba
Anaconda|Anaconda
Anafenza, Kin-Tree Spirit|Anafenza, Espírito da Árvore de Família
Anafenza, the Foremost|Anafenza, a Principal
Anara, Wolvid Familiar|Anara, Familiar Lupídea
Anarchist|Anarquista
Anarchy|Anarquia
Anathemancer|Anatemântico
Anavolver|Evolutor de Ana
Anax and Cymede|Anax e Ciméde
Anax, Hardened in the Forge|Anax, Temperado na Forja
Ancestor's Chosen|Eleito da Ancestral
Ancestor's Prophet|Profeta da Ancestral
Ancestral Anger|Raiva Ancestral
Ancestral Blade|Lâmina Ancestral
Ancestral Katana|Katana Ancestral
Ancestral Knowledge|Conhecimento Ancestral
Ancestral Mask|Máscara Ancestral
Ancestral Memories|Memórias Ancestrais
Ancestral Statue|Estátua Ancestral
Ancestral Tribute|Tributo Ancestral
Ancestral Vengeance|Vingança Ancestral
Ancestral Vision|Visão Ancestral
Anchor to Reality|Ancorar na Realidade
Anchor to the Aether|Ancorar ao Éter
Ancient Amphitheater|Anfiteatro Vetusto
Ancient Animus|Animus Ancestral
Ancient Brass Dragon|Dragão de Latão Ancião
Ancient Brontodon|Brontodonte Ancestral
Ancient Bronze Dragon|Dragão de Bronze Ancião
Ancient Carp|Carpa Ancestral
Ancient Copper Dragon|Dragão de Cobre Ancião
Ancient Crab|Caranguejo Ancião
Ancient Craving|Avidez Ancestral
Ancient Den|Covil Antigo
Ancient Excavation|Escavação Antiga
Ancient Gold Dragon|Dragão de Ouro Ancião
Ancient Greenwarden|Guardião da Flora Ancestral
Ancient Grudge|Rancor Antigo
Ancient Hellkite|Dragão Avérneo Ancião
Ancient Hydra|Hidra Anciã
Ancient Imperiosaur|Imperiossauro Antigo
Ancient Kavu|Kavu Ancião
Ancient Lumberknot|Lenhonodoso Ancestral
Ancient Ooze|Lodo Antigo
Ancient Runes|Runas Antigas
Ancient Silver Dragon|Dragão de Prata Ancião
Ancient Silverback|Gorila Ancião de Dorso Prateado
Ancient Spider|Aranha Anciã
Ancient Spring|Fonte Antiga
Ancient Stirrings|Agitações do Passado
Ancient Stone Idol|Ídolo de Pedra Antigo
Ancient Tomb|Tumba Antiga
Ancient Ziggurat|Zigurate Antigo
Ancient of the Equinox|Ancião do Equinócio
And They Shall Know No Fear|E Eles Não Conhecerão O Medo
Andradite Leech|Sanguessuga de Andradita
Andúril, Flame of the West|Andúril, Chama do Oeste
Angel of Condemnation|Anjo da Condenação
Angel of Deliverance|Anjo do Livramento
Angel of Despair|Anjo do Desespero
Angel of Destiny|Anjo do Destino
Angel of Finality|Anjo da Finalidade
Angel of Flight Alabaster|Anjo do Bando Alabastro
Angel of Fury|
Angel of Glory's Rise|Anjo da Ascensão da Glória
Angel of Grace|Anjo da Graça
Angel of Invention|Anjo da Invenção
Angel of Jubilation|Anjo do Júbilo
Angel of Mercy|Anjo de Misericórdia
Angel of Renewal|Anjo da Renovação
Angel of Retribution|Anjo da Retribuição
Angel of Salvation|Anjo da Salvação
Angel of Sanctions|Anjo das Sanções
Angel of Serenity|Anjo da Serenidade
Angel of Suffering|Anjo do Sofrimento
Angel of Vitality|Anjo da Vitalidade
Angel of the Dawn|Anjo da Aurora
Angel of the God-Pharaoh|Anjo do Faraó-Deus
Angel of the Ruins|Anjo das Ruínas
Angel's Feather|Pluma de Anjo
Angel's Grace|Graça do Anjo
Angel's Herald|Arauto do Anjo
Angel's Mercy|Misericórdia de Anjo
Angel's Tomb|Tumba de Anjo
Angel's Trumpet|Clarim dos Anjos
Angelfire Crusader|Cruzado de Angelfire
Angelfire Ignition|Ignição do Fogo Angélico
Angelheart Protector|Protetora do Coração de Anjo
Angelheart Vial|Frasco de Coração de Anjo
Angelic Accord|Acordo Angelical
Angelic Arbiter|Árbitro Angelical
Angelic Armaments|Armamentos Angelicais
Angelic Ascension|Ascensão Angelical
Angelic Benediction|Bendição Angelical
Angelic Blessing|Bêncão Angelical
Angelic Captain|Capitã Angelical
Angelic Chorus|Coro Angelical
Angelic Curator|Curador Angelical
Angelic Destiny|Destino Angelical
Angelic Edict|Édito Angelical
Angelic Exaltation|Exaltação Angelical
Angelic Favor|Favor Angelical
Angelic Gift|Dádiva Angelical
Angelic Guardian|Guardiã Angelical
Angelic Intervention|Intervenção Angelical
Angelic Observer|Observadora Angelical
Angelic Overseer|Supervisor Angelical
Angelic Page|Pajem Angelical
Angelic Protector|Protetor Angelical
Angelic Purge|Purgação Angelical
Angelic Quartermaster|Intendente Angelical
Angelic Renewal|Renovação Angelical
Angelic Shield|Escudo Angelical
Angelic Skirmisher|Escaramuçadora Angelical
Angelic Wall|Barreira Angelical
Angelsong|Música Angelical
Anger of the Gods|Fúria dos Deuses
Anger|Ira
Angler Drake|Dragonete Pescador
Angler Turtle|Tartaruga Pescadora
Angrath's Ambusher|Emboscador de Angrath
Angrath's Fury|Fúria de Angrath
Angrath's Marauders|Vândalos de Angrath
Angrath's Rampage|Cólera de Angrath
Angrath, Captain of Chaos|Angrath, Capitão do Caos
Angrath, Minotaur Pirate|Angrath, Pirata Minotauro
Angrath, the Flame-Chained|Angrath das Correntes Flamejantes
Angry Mob|Turba
Anguished Unmaking|Desfazer Angustiado
Anhelo, the Painter|Anhelo, o Pintor
Animal Boneyard|Cemitério de Animais
Animal Magnetism|Magnetismo Animal
Animal Sanctuary|Santuário dos Animais
Animate Artifact|Animar Artefato
Animate Dead|Reviver Cadáver
Animate Land|Animar Terreno
Animate Wall|Animar Barreira
Animating Faerie|Fada Animadora
Animation Module|Módulo de Animação
Animist's Awakening|Despertar da Animista
Animist's Might|Força da Animista
Anje Falkenrath|Anje Falkenrath
Anje's Ravager|Devastador de Anje
Anje, Maid of Dishonor|Anje, Dama de Desonra
Ankh of Mishra|Ankh de Mishra
Ankle Shanker|Cortador de Tornozelos
Annex Sentry|Sentinela do Anexo
Annex|Anexar
Annihilate|Aniquilar
Annihilating Fire|Fogo Aniquilador
Annihilating Glare|Olhar Aniquilador
Annoyed Altisaur|Altissauro Irritado
Annul|Anular
Anodet Lurker|Anodeto Espreitador
Anoint with Affliction|Ungir com Aflição
Anointed Chorister|Corista Ungido
Anointed Deacon|Diácono Ungido
Anointed Peacekeeper|Guardião da Paz Ungido
Anointed Procession|Procissão dos Ungidos
Anointer Priest|Sacerdotisa da Unção
Anointer of Champions|Ungidor dos Campeões
Anointer of Valor|Ungidora de Bravura
Anoint|Ungir
Anowon, the Ruin Sage|Anowon, o Sábio da Ruína
Anowon, the Ruin Thief|Anowon, o Ladrão da Ruína
Anrakyr the Traveller|Anrakyr, o Viajante
Answered Prayers|Preces Atendidas
Ant Queen|Formiga Rainha
Antagonism|Antagonismo
Antagonize|Antagonizar
Anthem of Rakdos|Hino de Rakdos
Anthousa, Setessan Hero|Antousa, Heroína Setessana
Anthroplasm|Antroplasma
Anti-Magic Aura|Aura Anti-Magia
Anticipate|Antecipar
